"IPN","MPN","Value","Manufacturer","Series","Capacitance","Description","Length","Width","Height","Footprint","Symbol","Mounting Type","Package / Case","Polarization","Voltage Rating (AC)","Voltage Rating (DC)","supplier","Material","Tolerance","Lead Spacing","Datasheet","Base MPN","Mouser Stocked MPN","Price","Stock"
"CAP-0001-0001","FKP2O100331D00KSSD","33p","Wima","FKP 2","33p","CAP FILM PP WIMA FKP2 33p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","250V","1000V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 100331D00 SSD","FKP2O100331D00KSSD","$0.215","10"
"CAP-0001-0002","FKP2O100471D00KSSD","47p","Wima","FKP 2","47p","CAP FILM PP WIMA FKP2 47p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","250V","1000V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 100471D00 SSD","FKP2O100471D00JSSD","$0.426","10"
"CAP-0001-0003","FKP2O100681D00KSSD","68p","Wima","FKP 2","68p","CAP FILM PP WIMA FKP2 68p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","250V","1000V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 100681D00 SSD","FKP2O100681D00JSSD","$0.398","10"
"CAP-0001-0004","FKP2G001001D00KSSD","100p","Wima","FKP 2","100p","CAP FILM PP WIMA FKP2 100p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 001001D00 SSD","FKP2G001001D00KSSD","$0.176","10"
"CAP-0001-0005","FKP2F001501D00JSSD","150p","Wima","FKP 2","150p","CAP FILM PP WIMA FKP2 150p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 001501D00 SSD","FKP2D001501D00HSSD","$0.418","10"
"CAP-0001-0006","FKP2G002201D00KSSD","220p","Wima","FKP 2","220p","CAP FILM PP WIMA FKP2 220p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 002201D00 SSD","FKP2G002201D00JSSD","$0.193","10"
"CAP-0001-0007","FKP2F003301D00JSSD","330p","Wima","FKP 2","330p","CAP FILM PP WIMA FKP2 330p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 003301D00 SSD","FKP2J003301D00HSSD","$0.235","10"
"CAP-0001-0008","FKP2F003301D00JSSD","470p","Wima","FKP 2","470p","CAP FILM PP WIMA FKP2 470p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 003301D00 SSD","FKP2J003301D00HSSD","$0.235",""
"CAP-0001-0009","FKP2D006801D00KSSD","680p","Wima","FKP 2","680p","CAP FILM PP WIMA FKP2 680p","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 006801D00 SSD","FKP2J006801D00KSSD","$0.317","10"
"CAP-0001-0010","FKP2F011001D00HSSD","1n","Wima","FKP 2","1n","CAP FILM PP WIMA FKP2 1n","7.2","4.5","6","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Device:C","Through Hole","Radial","Bi-Polar","40V","63V","Digikey","Polypropylene","20%","5mm","https://www.wima.de/wp-content/uploads/media/e_WIMA_FKP_2.pdf","FKP2 011001D00 SSD","FKP2J011001D00HSSD","$0.427","10"
