IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Sim_Library,Sim_Name,Sim_Device,Sim_Pins,Price (1),Price (100),#Ch,Package,Size,Vsup,Iout,Iq (/ch),Input Type,Rail-Rail?,"Vcm-
(V)","Vcm+
(V)",Vo+,Vo-,Vos,Ib,Ios,GBP,"THD+N
(10kHz)","CMRR
@20
(dB)","CMRR @20k
(dB)","PSRR @10k
(dB)","PSRR @1M
(dB)","CL
(30% osht)",Type,Features
ANA-1000-20IP,TL072IP,TI,"Op Amp, 2CH, JFET, 4.5-40V, 5MHz, PDIP-8",g-ana:Opamp_Dual,Package_DIP:DIP-8_W7.62mm_Socket,https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1743570328267,,,,,$0.89,$0.50,2,PDIP-8,,4.5-40V,26mA,2.5mA,CMOS,No,+1.5V,0,0.2V,0.2V,,,,,,,,,,,Op-Amp (Voltage FB),
ANA-1000-1DBV,TL071HIDBVR,TI,"Op Amp, 1CH, JFET, 4.5-40V, 5MHz, SOT-23-5",g-ana:OpAmp_Single_TI_DBV_SOT-23-5,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1743570328267,,,,,$0.25,$0.13,1,SOT-23-5,,4.5-40V,26mA,1.1mA,CMOS,No,+1.5V,0,0.2V,0.2V,±5mV,±300pA,±250pA,5MHz,-118dB,120,95,70,22,80p,Op-Amp (Voltage FB),
ANA-1000-2H0D,TL072HIDR,TI,"Op Amp, 2CH, JFET, 4.5-40V, 5MHz, SOIC-8",g-ana:Opamp_Dual,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1743570328267,,,,,$0.30,$0.16,2,SOIC-8,,4.5-40V,26mA,1.1mA,CMOS,No,+1.5V,0,0.2V,0.2V,±5mV,±300pA,±250pA,5MHz,-118dB,120,95,70,22,80p,Op-Amp (Voltage FB),
ANA-1000-2HDF,TL072HIDDFR,TI,"Op Amp, 2CH, JFET, 4.5-40V, 5MHz, TSOT-23-8",g-ana:Opamp_Dual,g-ana:TSOT-23-8_TI_TL072,https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1743570328267,,,,,$0.46,$0.25,2,TSOT-23-8,   ,4.5-40V,26mA,1.1mA,CMOS,No,+1.5V,0,0.2V,0.2V,±5mV,±300pA,±250pA,5MHz,-118dB,120,95,70,22,80p,Op-Amp (Voltage FB),
ANA-1000-2HPW,TL072HIPWR,TI,"Op Amp, 2CH, JFET, 4.5-40V, 5MHz, TSSOP-8",g-ana:Opamp_Dual,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1743570328267,,,,,$0.30,$0.16,2,TSSOP-8,,4.5-40V,26mA,1.1mA,CMOS,No,+1.5V,0,0.2V,0.2V,±5mV,±300pA,±250pA,5MHz,-118dB,120,95,70,22,80p,Op-Amp (Voltage FB),
ANA-1000-4HPW,TL074HIPWR,TI,"Op Amp, 4CH, JFET, 4.5-40V, 5MHz, TSSOP-14",g-ana:Opamp_Quad,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,https://www.ti.com/lit/ds/symlink/tl072h.pdf?ts=1743570328267,,,,,$0.34,$0.18,4,TSSOP-14,,4.5-40V,26mA,1.1mA,CMOS,No,+1.5V,0,0.2V,0.2V,±5mV,±300pA,±250pA,5MHz,-118dB,120,95,70,22,80p,Op-Amp (Voltage FB),
ANA-1001-200D,OPA1688IDR,TI,"Op Amp, 2CH, RRO, 4.5-36V, 10MHz, Low-Noise, Hi-Current, SOIC-8",g-ana:Opamp_Dual,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa1688,,,,,$1.55,$0.91,2,SOIC-8,,4.5-36V,75mA,2mA,CMOS,Output,-0.1V,-2V,0.1V,0.1V,±1.6mV,±1.5nA,±250pA,10MHz,-106dB,120,115,60-90,50-55,200p,Op-Amp (Voltage FB),"RFI-filtered inputs, Phase Reversal Protection, Capacitive Load Drive"
ANA-1002-1DBV,OPA1677DBVR,TI,"Op Amp, 1CH, RRO, 4.5-36V, 16MHz, SOT-23-5",g-ana:OpAmp_Single_TI_DBV_SOT-23-5,Package_TO_SOT_SMD:SOT-23-5,,,,,,$0.57,$0.31,1,SOT-23-5,,4.5-36V,50mA,2.5mA,CMOS,Output,+0.5V,-2V,0.8V,0.8V,±2mV,±10pA,±10pA,16MHz,-126dB,125,90,70,32,150p,Op-Amp (Voltage FB),
ANA-1002-200D,OPA1678IDR,TI,"Op Amp, 2CH, RRO, 4.5-36V, 16MHz, SOIC-8",g-ana:Opamp_Dual,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,,,,,$0.79,$0.44,2,SOIC-8,,4.5-36V,50mA,2.5mA,CMOS,Output,+0.5V,-2V,0.8V,0.8V,±2mV,±10pA,±10pA,16MHz,-126dB,125,90,70,32,150p,Op-Amp (Voltage FB),
ANA-1002-40PW,OPA1679IPWR,TI,"Op Amp, 4CH, RRO, 4.5-36V, 16MHz, TSSOP-14",g-ana:Opamp_Quad,Package_SO:TSSOP-14_4.4x5mm_P0.65mm,,,,,,$1.30,$0.76,4,TSSOP-14,,4.5-36V,50mA,2.5mA,CMOS,Output,+0.5V,-2V,0.8V,0.8V,±2mV,±10pA,±10pA,16MHz,-126dB,125,90,70,32,150p,Op-Amp (Voltage FB),
ANA-1003-1DBV,OPA990IDBVR,TI,"Op Amp, 1CH, RRIO, 2.7-40V, 1MHz, Lo Pwr, SOT-23-5",g-ana:OpAmp_Single_TI_DBV_SOT-23-5,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/opa990.pdf,${GITPLM_PARTS}/spice/opa2990.lib,OPA2990,SUBCKT,1=OUT 2=VEE 3=IN+ 4=IN- 5=VCC,$1.12,$0.65,1,SOT-23-5,,2.7-40V,80mA,150uA,CMOS,RRIO,-0.2V,+0.2V,50mV,50mV,±1.5mV,±10pA,±5pA,1MHz,-70dB,100,60,43,10,120p,Op-Amp (Voltage FB),
