IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Hfe,"Leakage, Collector"
XTR-0002-0001,MMBT4401-7-F,Diodes Inc.,BJT NPN 40V 600mA,Transistor_BJT:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-23-3,https://www.diodes.com/assets/Datasheets/MMBT4401.pdf,,
XTR-0003-0001,MMBT4403LT1G,Onsemi,BJT PNP 40V 600mA,Transistor_BJT:Q_PNP_BEC,Package_TO_SOT_SMD:SOT-23-3,https://www.onsemi.com/pdf/datasheet/mmbt4403lt1-d.pdf,,
XTR-0005-0001,MMBT3904,Diotec Semiconductor,BJT NPN 40V 200mA,Transistor_BJT:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-23-3,https://diotec.com/request/datasheet/mmbt3904.pdf,,
XTR-0007-0001,FMMT723QTA,Diodes Incorporated,BJT PNP 100V 1A,Transistor_BJT:Q_PNP_BEC,Package_TO_SOT_SMD:SOT-23-3,https://www.diodes.com/assets/Datasheets/FMMT723.pdf,,
XTR-0010-0001,FMMT624TA,Diodes Incorporated,BJT NPN 125V 1A,Transistor_BJT:Q_NPN_BEC,Package_TO_SOT_SMD:SOT-23-3,https://www.diodes.com/assets/Datasheets/FMMT624.pdf,,
XTR-1001-0001,NPN_Ge,Generic,"Generic NPN Germanium, Low Gain, Low Leakage",Transistor_BJT:Q_NPN_EBC,g-bjt:TO-92L_Wide_EBC,,40-70,
XTR-1001-0002,NPN_Ge,Generic,"Generic NPN Germanium, Med Gain, Low Leakage",Transistor_BJT:Q_NPN_EBC,g-bjt:TO-92L_Wide_EBC,,70-100,
XTR-1001-0003,NPN_Ge,Generic,"Generic NPN Germanium, High Gain, Low Leakage",Transistor_BJT:Q_NPN_EBC,g-bjt:TO-92L_Wide_EBC,,100-150,
XTR-1001-0004,NPN_Ge,Generic,"Generic NPN Germanium, Low Gain, High Leakage",Transistor_BJT:Q_NPN_EBC,g-bjt:TO-92L_Wide_EBC,,40-70,
XTR-1001-0005,NPN_Ge,Generic,"Generic NPN Germanium, Med Gain, High Leakage",Transistor_BJT:Q_NPN_EBC,g-bjt:TO-92L_Wide_EBC,,70-100,
XTR-1001-0006,NPN_Ge,Generic,"Generic NPN Germanium, High Gain, High Leakage",Transistor_BJT:Q_NPN_EBC,g-bjt:TO-92L_Wide_EBC,,100-150,
XTR-1002-0001,PNP_Ge,Generic,"Generic PNP Germanium, Low Gain, Low Leakage",Transistor_BJT:Q_PNP_EBC,g-bjt:TO-92L_Wide_EBC,,40-70,
XTR-1002-0002,PNP_Ge,Generic,"Generic PNP Germanium, Med Gain, Low Leakage",Transistor_BJT:Q_PNP_EBC,g-bjt:TO-92L_Wide_EBC,,70-100,
XTR-1002-0003,PNP_Ge,Generic,"Generic PNP Germanium, High Gain, Low Leakage",Transistor_BJT:Q_PNP_EBC,g-bjt:TO-92L_Wide_EBC,,100-150,
XTR-1002-0004,PNP_Ge,Generic,"Generic PNP Germanium, Low Gain, High Leakage",Transistor_BJT:Q_PNP_EBC,g-bjt:TO-92L_Wide_EBC,,40-70,
XTR-1002-0005,PNP_Ge,Generic,"Generic PNP Germanium, Med Gain, High Leakage",Transistor_BJT:Q_PNP_EBC,g-bjt:TO-92L_Wide_EBC,,70-100,
XTR-1002-0006,PNP_Ge,Generic,"Generic PNP Germanium, High Gain, High Leakage",Transistor_BJT:Q_PNP_EBC,g-bjt:TO-92L_Wide_EBC,,100-150,
