IPN,MPN,Manufacturer,Description,Symbol,Footprint,Pins,Datasheet,
CON-0001-0002,22-28-5024,Molex,"0.1” jumper, 2pos, gold plating",Jumper:Jumper_2_Open,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,2,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0003,22-28-4034,Molex,"0.1” header, 3pos",Connector_Generic:Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,3,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0004,22-28-4044,Molex,"0.1” header, 4pos",Connector_Generic:Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,4,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0005,22-28-4054,Molex,"0.1” header, 5pos",Connector_Generic:Conn_01x05,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,5,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0006,22-28-4064,Molex,"0.1” header, 6pos",Connector_Generic:Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,6,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0007,22-28-4074,Molex,"0.1” header, 7pos",Connector_Generic:Conn_01x07,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,7,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0008,22-28-4084,Molex,"0.1” header, 8pos",Connector_Generic:Conn_01x08,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,8,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0009,22-28-4094,Molex,"0.1” header, 9pos",Connector_Generic:Conn_01x09,Connector_PinHeader_2.54mm:PinHeader_1x09_P2.54mm_Vertical,9,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0010,22-28-4104,Molex,"0.1” header, 10pos",Connector_Generic:Conn_01x10,Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical,10,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0011,22-28-4114,Molex,"0.1” header, 11pos",Connector_Generic:Conn_01x11,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,11,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0001-0012,22-28-4124,Molex,"0.1” header, 12pos",Connector_Generic:Conn_01x12,Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical,12,https://www.molex.com/pdm_docs/ps/PS-10-07-001.pdf,
CON-0002-0001,217182-0001,Molex,USB-C Vertical,g-con:USB_C_Receptacle_2.0_Vert,g-con:usbc-vert-217182-0001,,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/217/217182/2171820001_sd.pdf,
CON-0010-0005,651005136421,Wurth Elektronik,USB - mini B USB 2.0 Receptacle Connector 5 Position Through Hole,Connector:USB_OTG,g-con:WURTH_ELEKTRONIK-651005136421,5,https://www.we-online.com/katalog/datasheet/651005136421.pdf,
CON-0015-0009,GSB412137CHR,Amphenol ICC (Commercial Products),"USB-A (USB TYPE-A) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 9 Position Through Hole",Connector:USB3_A,g-con:GSB412137CHR-USB_A_VERTICAL,9,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/924/GSB4_Series_USB_31_rev2.pdf,
CON-0017-0024,12401610E4#2A,Amphenol ICC (Commercial Products),"USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole",g-con:USB_C_Receptacle,Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A,USB_C_Receptacle_Amphenol_12401610E4-2A_CircularHoles,24,https://www.amphenol-cs.com/media/wysiwyg/files/drawing/12401610e4x2a.pdf
CON-0018-0002,1060TR,Keystone Electronics,"Battery Holder (Open) Coin, 20.0mm 1 Cell SMD (SMT) Tab",Device:Battery_Cell,g-con:COIN_CELL_HOLDER-KEYSTONE_1060,2,https://www.keyelco.com/userAssets/file/M65p4.pdf,
CON-0019-0001,5019,Keystone Electronics,"PC Test Point, Miniature Phosphor Bronze Silver Plating Surface Mount Mounting Type",Connector:TestPoint_Probe,TestPoint:TestPoint_Keystone_5019_Minature,1,https://www.keyelco.com/product-pdf.cfm?p=1357,
CON-0022-0008,ST1W008S4GR2000,JAE Electronics,"8 Position Card Connector Secure Digital - microSD™ Surface Mount, Right Angle Gold",g-con:CONN_MICRO_SD_FLIP_UP,g-con:CONN_MICRO_SD_HINGED (JAE_ST1W008S4),8,https://www.jae.com/direct/topics/topics_file_download/?topics_id=68903&ext_no=06&index=0&_lang=en,
CON-0023-0010,20021121-00010C4LF,Amphenol ICC (FCI),"1.27mm 2x5 header Surface Mount 10 position 0.050"" (1.27mm)",g-con:PGM_HDR_STM_20021121-00010C4LF,g-con:AMPHENOL_20021121-00010C4LF,10,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_minitek127_btb.pdf,
CON-0024-0020,PPPC202LJBN-RC,Sullins Connector Solutions,"2 row 20 Position Header Connector 0.100"" (2.54mm) Through Hole, Right Angle Gold",Connector_Generic:Conn_02x20_Odd_Even,Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Horizontal,40,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/937/Female_Headers.100_DS.pdf,
CON-0025-0007,BF050-14-A-B-0600-0300-L-G,GCT,"2 row 7 position Connector Header Through Hole 14 position 0.079"" (2.00mm)",Connector_Generic:Conn_02x07_Odd_Even,Connector_PinHeader_2.00mm:PinHeader_2x07_P2.00mm_Vertical,14,https://gct.co/files/drawings/bf050.pdf,
CON-0027-0024,DX07S024JJ2R1300,JAE Electronics,"USB-C (USB TYPE-C) USB 3.2 Gen 2 (USB 3.1 Gen 2, Superspeed + (USB 3.1)) Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole",g-con:USB_C_Receptacle,g-con:JAE_DX07S024JJ2R1300,24,https://www.jae.com/direct/page/generatePDF/?file_nm=DX07S024JJ2R1300.pdf&orientation=portrait&no_cache=0&path=%2Fen%2Fconnectors%2Fseries%2Fdetail%2Fproduct%2Fid%3D66508%26type_code%3DT1010%26v=2020031910202910099709,
CON-0028-0001,12402082E512A,Amphenol ICC (Commercial Products),"USB-C (USB TYPE-C) USB 4.0 Receptacle Connector 24 Position Surface Mount, Through Hole",g-con:USB_C_Receptacle,g-con:12402082E512A_AMP,25,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/c12402082.pdf,
CON-0030-0024,12402143E512A,Amphenol ICC (Commercial Products),"USB-C (USB TYPE-C) USB 4.0 Gen 3 Receptacle Connector 24 Position Surface Mount, Right Angle; Through Hole",g-con:USB_C_Receptacle,g-con:CONN24_1240214_AMP,24,https://cdn.amphenol-cs.com/media/wysiwyg/files/drawing/12402143.pdf,
CON-1000-0012,F32R-1A7H1-11012,Amphenol ICC (FCI),"12 Position FFC, FPC Connector Contacts, Right Angle - 1 Sided 0.020"" (0.50mm) Surface Mount",g-con:F32R-1A7H1-11012,g-con:AMPHENOL_F32R-1A7H1-11012,12,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/flex/ffc_fpc_050mm_f32r_f32q.pdf,
CON-1000-0016,F32R-1A7H1-11016,Amphenol ICC (FCI),"16 Position FFC, FPC Connector Contacts, Right Angle - 1 Sided 0.020"" (0.50mm) Surface Mount",g-con:F32R-1A7H1-11016,g-con:AMPHENOL_F32R-1A7H1-11016,16,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/flex/ffc_fpc_050mm_f32r_f32q.pdf,
