IPN,MPN,Manufacturer,Description,Symbol,Footprint,Datasheet,Series,Type,Resistance,Taper,Name,Turns,Gangs,Switch,Switch Type,Adjustment,Shaft Diameter,Length,Width,Height,Mounting,Material,Tolerance
POT-0001-B102,RD901F-40-15R1-B1K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 1K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,1k,Linear,B1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B202,RD901F-40-15R1-B2K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 2K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,1k,Linear,B1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B502,RD901F-40-15R1-B5K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 5K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,5k,Linear,B5k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B103,RD901F-40-15R1-B10K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 10K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,10k,Linear,B10k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B503,RD901F-40-15R1-B50K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 50K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,50k,Linear,B50k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B104,RD901F-40-15R1-B100K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 100K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,100k,Linear,B100k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B504,RD901F-40-15R1-B500K-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 500K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,500k,Linear,B500k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-B105,RD901F-40-15R1-B1M-00DL1,Alpha,POT 9MM ALPHA RD901F LINEAR PTH 1-GANG 6.35MM-SHAFT 1M,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,1M,Linear,B1M,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-A102,RD901F-40-15R1-A1K-00DL1,Alpha,POT 9MM ALPHA RD901F AUDIO PTH 1-GANG 6.35MM-SHAFT 1K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,1k,Audio,A1k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-A502,RD901F-40-15R1-A5K-00DL1,Alpha,POT 9MM ALPHA RD901F AUDIO PTH 1-GANG 6.35MM-SHAFT 5K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,5k,Audio,A5k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-A103,RD901F-40-15R1-A10K-00DL1,Alpha,POT 9MM ALPHA RD901F AUDIO PTH 1-GANG 6.35MM-SHAFT 10K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,10k,Audio,A10k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
POT-0001-A503,RD901F-40-15R1-A50K-00DL1,Alpha,POT 9MM ALPHA RD901F AUDIO PTH 1-GANG 6.35MM-SHAFT 50K,g-pot:Pot_Single,g-pot:Potentiometer_9MM_1-Gang_Alpha_RD901F,https://www.mouser.com/datasheet/2/13/RD901SF-2303579.pdf,RD901F,Rotary,50k,Audio,A50k,1,1,None,N/A,Top,6.35mm,,,,PTH,Cermet,
