IPN,MPN,Manufacturer,Description,Voltage,Current,Symbol,Footprint,Datasheet
REG-0000-0005,TPS5430DDAR,TI,Switching Voltage Regulators 5.5 to 36V Input 3A Step Down Converter,ADJ,3A,g-reg:tps5430,Package_SO:TI_SO-PowerPAD-8,https://www.ti.com/lit/ds/symlink/tps5430.pdf
REG-0001-0000,TLV709A01DBVR,TI,"Linear Reg, Adjustable 150mA",ADJ,150mA,g-reg:TLV709ADJ,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/tlv709.pdf
REG-0002-01V8,ADP7142AUJZ-1.8-R7,Analog Devices,"Linear Reg, 1.8V, 200mA, Adjustable",1.8V,200mA,g-reg:ADP7142,Package_TO_SOT_SMD:SOT-23-5,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP7142.pdf
REG-0003-0001,LM2623AMM/NOPB,TI,"Boost switching reg, 2A, 14V",ADJ,2.2A,g-reg:LM2623,Package_SO:VSSOP-8_3.0x3.0mm_P0.65mm,https://www.ti.com/lit/ds/symlink/lm2623.pdf
REG-0004-0001,LTM8074EY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.8 ~ 12V 1.2A 3.2V - 40V Input,ADJ,1.25A,g-reg:MODULE_LTM8074_PWR_SUPPLY,g-reg:LT_BGA_4X4X25-05-08-1566A,http://www.analog.com/media/en/technical-documentation/data-sheets/LTM8074.pdf
REG-0005-04V5,LP5907MFX-4.5/NOPB,Texas Instruments,Linear Voltage Regulator IC Positive Fixed 1 Output 250mA 4.5V SOT-23-5,4.5V,250mA,g-reg:IC_LP5907QMFX-4.5_LDO_REG,Package_TO_SOT_SMD:SOT-23-5,https://www.ti.com/lit/ds/symlink/lp5907.pdf
REG-0006-03V3,LT1761ES5-3.3#TRPBF,Analog Devices Inc.,Linear Voltage Regulator IC Positive Fixed 1 Output 100mA TSOT-23-5,3.3V,100mA,g-reg:IC_LT1761-3.3V,Package_TO_SOT_SMD:TSOT-23-5,https://www.analog.com/media/en/technical-documentation/data-sheets/1761sff.pdf
REG-0007-0001,LTM4638EY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.6 ~ 5.5V 15A 3.1V - 20V Input,ADJ,15A,g-reg:MODULE_LTM4638,Package_BGA:Analog_BGA-49_6.25x6.25mm_Layout7x7_P0.8mm_Ball0.5mm_Pad0.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ltm4638.pdf
REG-0008-0001,LTM8063EY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.8 ~ 15V 2A 3.2V - 40V Input,ADJ,2A,g-reg:MODULE_LTM8063,Package_BGA:Analog_BGA-28_4.0x6.25mm_Layout4x7_P0.8mm_Ball0.45mm_Pad0.4,https://www.analog.com/media/en/technical-documentation/data-sheets/LTM8063.pdf
REG-0009-0001,LTM4702IY#PBF,Analog Devices Inc.,Non-Isolated PoL Module DC DC Converter 1 Output 0.3 ~ 5.7V 8A 3V - 16V Input,ADJ,8A,g-reg:MODULE_LTM4702,Package_BGA:Analog_BGA-49_6.25x6.25mm_Layout7x7_P0.8mm_Ball0.5mm_Pad0.4mm,https://www.analog.com/media/en/technical-documentation/data-sheets/ltm4702.pdf
