IPN,MPN,Manufacturer,Description,Form,Function,Standoff,Actuator Length,Bushing,Bushing Length,Symbol,Footprint,Datasheet
SWI-1001-1110,100SP1T1B1M2QEH,E-Switch,"Toggle Switch SPDT On-On, PC Pin, Vertical, Long Shaft",SPDT,On-On,10.5mm,10.41mm,1/4-40 UNS,8.89mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-100_SPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-1111,100SP1T2B1M2QEH,E-Switch,"Toggle Switch SPDT On-On, PC Pin, Vertical, Short Shaft",SPDT,On-On,10.5mm,5.08mm,1/4-40 UNS,8.89mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-100_SPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-1310,100SP3T1B1M2QEH,E-Switch,"Toggle Switch SPDT On-Off-On, PC Pin, Vertical, Long Shaft",SPDT,On-Off-On,10.5mm,10.41mm,1/4-40 UNS,8.89mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-100_SPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-1311,100SP3T2B1M2QEH,E-Switch,"Toggle Switch SPDT On-Off-On, PC Pin, Vertical, Short Shaft",SPDT,On-Off-On,10.5mm,5.08mm,1/4-40 UNS,8.89mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-100_SPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-3110,100DP1T1B1M2QEH,E-Switch,"Toggle Switch DPDT On-On, PC Pin, Vertical, Long Shaft",DPDT,On-On,10.5mm,10.41mm,1/4-40 UNS,8.89mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-100_DPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-3111,100DP1T2B1M2QEH,E-Switch,"Toggle Switch DPDT On-On, PC Pin, Vertical, Short Shaft",DPDT,On-On,10.5mm,5.08mm,1/4-40 UNS,8.89mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-100_DPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-3310,100DP3T1B1M2QEH,E-Switch,"Toggle Switch DPDT On-Off-On, PC Pin, Vertical, Long Shaft",DPDT,On-Off-On,10.5mm,10.41mm,1/4-40 UNS,8.89mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-100_DPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1001-3311,100DP3T2B1M2QEH,E-Switch,"Toggle Switch DPDT On-Off-On, PC Pin, Vertical, Short Shaft",DPDT,On-Off-On,10.5mm,5.08mm,1/4-40 UNS,8.89mm,g-swi:SW_DPDT,g-swi:SW_TOGGLE_ALPHA-100_DPDT_SLDR-LUG,https://www.e-switch.com/wp-content/uploads/2024/05/100-1.pdf
SWI-1002-1110,200MSP1T1B1M2QEH,E-Switch,"Toggle Switch Submini SPDT On-On, PC Pin, Vertical, Long Shaft",SPDT,On-On,8.64mm,9.4mm,10-48 UNS,5.59mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_SPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
SWI-1002-1111,200MSP1T2B1M2QEH,E-Switch,"Toggle Switch Submini SPDT On-On, PC Pin, Vertical, Short Shaft",SPDT,On-On,8.64mm,5.3mm,10-48 UNS,5.59mm,g-swi:SW_SPDT,g-swi:SW_TOGGLE_ALPHA-200_SUBMINI_SPDT_PC-PINS,https://www.e-switch.com/wp-content/uploads/2022/06/200.pdf
