IPN,MPN,Manufacturer,Description,Symbol,Footprint,Power,Voltage,Datasheet,Mounting
ZEN-0001-04V7,MM3Z4V7C,On Semi,Zener 4.7V,Device:D_Zener,Diode_SMD:D_SOD-323F,0.2W,4.7V,https://www.mouser.com/datasheet/2/308/1/MM3Z9V1C_D-2315854.pdf,SMD
ZEN-0001-05V6,MM3Z5V6C,On Semi,Zener 5.6V,Device:D_Zener,Diode_SMD:D_SOD-323F,0.2W,5.6V,https://www.mouser.com/datasheet/2/308/1/MM3Z9V1C_D-2315854.pdf,SMD
ZEN-0002-0013,MMSZ5243BT1G,onsemi,Zener 13V 500mW,Device:D_Zener,Diode_SMD:D_SOD-123,0.5W,13V,https://www.onsemi.com/pdf/datasheet/mmsz5221bt1-d.pdf,SMD
ZEN-0002-0015,MMSZ5245BT1G,onsemi,Zener 15V 500mW,Device:D_Zener,Diode_SMD:D_SOD-123,0.5W,15V,https://www.onsemi.com/pdf/datasheet/mmsz5221bt1-d.pdf,SMD
ZEN-0002-07V5,MMSZ5236B-7-F,Diodes Incorporated,Zener 7.5V 500mW,Device:D_Zener,Diode_SMD:D_SOD-123,0.5W,7.5V,https://www.diodes.com/assets/Datasheets/ds18010.pdf,SMD
ZEN-1001-03V0,BZX55C3V0-TAP,Vishay,DIODE ZENER 3V 500MW DO204AH,Device:D_Zener,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,0.5W,3V,https://www.vishay.com/docs/85604/bzx55.pdf,THT
ZEN-1001-03V3,BZX55C3V3-TR,Vishay,DIODE ZENER 3.3V 500MW DO204AH,Device:D_Zener,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,0.5W,3.3V,https://www.vishay.com/docs/85604/bzx55.pdf,THT
ZEN-1002-09V1,1N4739A,onsemi,DIODE ZENER 9.1V 1W DO41,Device:D_Zener,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1W,9.1V,https://www.onsemi.com/pdf/datasheet/1n4736at-d.pdf,THT
ZEN-1003-0010,TZX10A-TR,Vishay,DIODE ZENER 10V 500MW DO204AH,Device:D_Zener,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,0.5W,10V,https://www.vishay.com/docs/85614/tzxserie.pdf,THT
ZEN-1004-9V95,DDZ10CSF-7,Diodes Inc.,DIODE ZENER 9.95V 500MW SOD323F,Device:D_Zener,Diode_SMD:D_SOD-323F,0.5W,9.95V,https://www.diodes.com/assets/Datasheets/ds31987.pdf,SMD
