IPN,MPN,Manufacturer,Series,Type,Resistance,Taper,Value,Turns,Gangs,Switch,Switch Type,Adjustment Type,Description,Shaft Diameter,Length,Width,Height,Footprint,Symbol,Mounting Type,Material,Tolerance,Datasheet
POT-0001-0001,,,,Rotary,1k,Linear,B1k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0002,,,,Rotary,2k,Linear,B2k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0003,,,,Rotary,5k,Linear,B5k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 5K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0004,,,,Rotary,10k,Linear,B10k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 10K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0005,,,,Rotary,25k,Linear,B25k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 25K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0006,,,,Rotary,50k,Linear,B50k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 50K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0007,,,,Rotary,100k,Linear,B100k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 100K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0008,,,,Rotary,250k,Linear,B250k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 250K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0009,,,,Rotary,500k,Linear,B500k,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 500K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0010,,,,Rotary,1M,Linear,B1M,1,1,None,N/A,Top,POT 9MM LINEAR PTH 1-GANG 6MM-SHAFT 1M,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0011,,,,Rotary,1k,Audio,A1k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 1K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
POT-0001-0012,,,,Rotary,2k,Audio,A2k,1,1,None,N/A,Top,POT 9MM AUDIO PTH 1-GANG 6MM-SHAFT 2K,6,,,,BB_Potentiometers:Potentiometer_9MM,BlackBox:R_Potentiometer_US,PTH,Cermet,,
