"IPN","MPN","Manufacturer","Description","Value","Case/Package","Length","Width","Mounting Type","Resistance","Power","Tolerance","Temp Coefficient","Maximum Working Voltage","Symbol","Footprint","Datasheet"
"RES-0001-0001","MFR-25FBF52-1R","Yageo","RES 1 OHM AXIAL","1","Axial","6.3","2.4","Through Hole","1","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0002","MFR-25FBF52-1R2","Yageo","RES 1.2 OHM 1% 1/4W AXIAL","1.2","Axial","6.3","2.4","Through Hole","1.2","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0003","MFR-25FBF52-1R5","Yageo","RES 1.5 OHM 1% 1/4W AXIAL","1.5","Axial","6.3","2.4","Through Hole","1.5","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0004","MFR-25FBF52-1R8","Yageo","RES 1.8 OHM 1% 1/4W AXIAL","1.8","Axial","6.3","2.4","Through Hole","1.8","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0005","MFR-25FBF52-2R2","Yageo","RES 2.2 OHM 1% 1/4W AXIAL","2.2","Axial","6.3","2.4","Through Hole","2.2","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0006","MFR-25FBF52-2R7","Yageo","RES 2.7 OHM 1% 1/4W AXIAL","2.7","Axial","6.3","2.4","Through Hole","2.7","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0007","MFR-25FBF52-3R3","Yageo","RES 3.3 OHM 1% 1/4W AXIAL","3.3","Axial","6.3","2.4","Through Hole","3.3","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0008","MFR-25FBF52-3R9","Yageo","RES 3.9 OHM 1% 1/4W AXIAL","3.9","Axial","6.3","2.4","Through Hole","3.9","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0009","MFR-25FBF52-4R7","Yageo","RES 4.7 OHM 1% 1/4W AXIAL","4.7","Axial","6.3","2.4","Through Hole","4.7","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
"RES-0001-0010","MFR-25FBF52-5R6","Yageo","RES 5.6 OHM 1% 1/4W AXIAL","5.6","Axial","6.3","2.4","Through Hole","5.6","0.25W","1%","100ppm","250V","Device:R_US","BB_Resistors:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.5mm_Horizontal","https://www.yageo.com/upload/media/product/app/datasheet/lr/yageo-mfr_datasheet.pdf"
